"Model","Subset","Replicate","K","Lambda","Subset_Type"
"BM","random_4",22,NA,NA,"random"
"BM","random_4",23,NA,NA,"random"
"BM","random_4",24,NA,NA,"random"
"BM","random_4",25,NA,NA,"random"
"BM","random_4",26,NA,NA,"random"
"BM","random_4",27,NA,NA,"random"
"BM","random_4",28,NA,NA,"random"
"BM","random_4",29,NA,NA,"random"
"BM","random_4",30,NA,NA,"random"
"BM","random_4",31,NA,NA,"random"
"BM","random_4",32,NA,NA,"random"
"BM","random_4",33,NA,NA,"random"
"BM","random_4",34,NA,NA,"random"
"BM","random_4",35,NA,NA,"random"
"BM","random_4",36,NA,NA,"random"
"BM","random_4",37,NA,NA,"random"
"BM","random_4",38,NA,NA,"random"
"BM","random_4",39,NA,NA,"random"
"BM","random_4",40,NA,NA,"random"
"BM","random_4",41,NA,NA,"random"
"BM","random_4",42,NA,NA,"random"
"BM","random_4",43,NA,NA,"random"
"BM","random_4",44,NA,NA,"random"
"BM","random_4",45,NA,NA,"random"
"BM","random_4",46,NA,NA,"random"
"BM","random_4",47,NA,NA,"random"
"BM","random_4",48,NA,NA,"random"
"BM","random_4",49,NA,NA,"random"
"BM","random_4",50,NA,NA,"random"
"BM","random_4",51,NA,NA,"random"
"BM","random_4",52,NA,NA,"random"
"BM","random_4",53,NA,NA,"random"
"BM","random_4",54,NA,NA,"random"
"BM","random_4",55,NA,NA,"random"
"BM","random_4",56,NA,NA,"random"
"BM","random_4",57,NA,NA,"random"
"BM","random_4",58,NA,NA,"random"
"BM","random_4",59,NA,NA,"random"
"BM","random_4",60,NA,NA,"random"
"BM","random_4",61,NA,NA,"random"
"BM","random_4",62,NA,NA,"random"
"BM","random_4",63,NA,NA,"random"
"BM","random_4",64,NA,NA,"random"
"BM","random_4",65,NA,NA,"random"
"BM","random_4",66,NA,NA,"random"
"BM","random_4",67,NA,NA,"random"
"BM","random_4",68,NA,NA,"random"
"BM","random_4",69,NA,NA,"random"
"BM","random_4",70,NA,NA,"random"
"BM","random_4",71,NA,NA,"random"
"BM","random_4",72,NA,NA,"random"
"BM","random_4",73,NA,NA,"random"
"BM","random_4",74,NA,NA,"random"
"BM","random_4",75,NA,NA,"random"
"BM","random_4",76,NA,NA,"random"
"BM","random_4",77,NA,NA,"random"
"BM","random_4",78,NA,NA,"random"
"BM","random_4",79,NA,NA,"random"
"BM","random_4",80,NA,NA,"random"
"BM","random_4",81,NA,NA,"random"
"BM","random_4",82,NA,NA,"random"
"BM","random_4",83,NA,NA,"random"
"BM","random_4",84,NA,NA,"random"
"BM","random_4",85,NA,NA,"random"
"BM","random_4",86,NA,NA,"random"
"BM","random_4",87,NA,NA,"random"
"BM","random_4",88,NA,NA,"random"
"BM","random_4",89,NA,NA,"random"
"BM","random_4",90,NA,NA,"random"
"BM","random_4",91,NA,NA,"random"
"BM","random_4",92,NA,NA,"random"
"BM","random_4",93,NA,NA,"random"
"BM","random_4",94,NA,NA,"random"
"BM","random_4",95,NA,NA,"random"
"BM","random_4",96,NA,NA,"random"
"BM","random_4",97,NA,NA,"random"
"BM","random_4",98,NA,NA,"random"
"BM","random_4",99,NA,NA,"random"
"BM","random_4",100,NA,NA,"random"
"BM","random_5",1,NA,NA,"random"
