"SubsetID","MinPD","MeanPD","MeanNND","MaxPD"
184,2.7920379338,65.464480589401,17.454554323735,85.986492248
185,4.74337250935,67.6639456296616,21.640672672124,85.9864908541
186,2.341049038,66.1814562875135,22.143404645622,85.986492248
187,4.61471617524,67.4519774258427,17.6575711900985,85.9864909507
188,6.6767603917,65.1806561407108,17.308940702162,85.9864919266
189,7.784421497,68.8086532782982,16.422745292829,85.9864927192
190,0.9168774012,64.8681405970681,19.484901504932,85.986490887
191,1.9944790548,66.7861398076777,19.824454140889,85.9864922132
192,8.328799787,67.0282982714216,25.73044692729,85.9864916155
193,8.4578696044,67.2947685865603,19.626562449032,85.9864913909
194,2.6168976316,68.4758308039919,19.439970663544,85.9864906375
195,2.6205933699,67.0702385640884,20.238006368765,85.9864910396
196,4.556064124,64.3502353575906,13.3000313852,85.9864913923
197,3.1216530196,67.2304994631226,16.273541435578,85.9864909187
198,2.7920379016,67.8709907051757,17.779944390606,85.9864909821
199,3.1019496303,64.4031862353135,19.675784496807,85.9864910807
200,1.941938999,65.7333132967558,15.13995459481,85.9864919289
201,2.928019428,65.468528173467,17.111423438734,85.9864906703
202,2.4086519957,67.7541819159394,16.4107868126945,85.986491297
203,0.9168774012,67.5577711553103,13.785399628921,85.9864921853
204,6.4956633996,67.5754639316327,14.517202211734,85.9864913011
205,5.6308781356,66.9937957307102,18.009513819027,85.9864910484
206,10.2999065706,65.0499599805781,26.7226237845755,85.9864917446
207,0.836406392,65.3194131554419,15.380267180467,85.9864909809
208,7.014284671,67.4627598622206,18.255582655441,85.9864907567
209,2.7920379338,63.2146699050593,16.076242677882,85.9864919293
210,0.8948449048,67.7397886667548,20.295053404023,85.986491361
211,6.4956634318,67.9425234943626,19.712901525935,85.9864918995
212,2.1075583784,63.6036688892956,23.555726074779,85.986491615
213,4.774554568,64.2535777525095,22.060971596295,85.9864909807
214,0.7361459546,66.2454353729751,18.658706925884,85.9864913904
215,6.0681752169,67.2544691890235,17.572076083192,85.9864914871
216,5.6308780725,66.6681899639582,21.428107449718,85.98649009824
217,4.5574172014,67.7184156881058,17.840109688185,85.986490757
218,5.6308780725,67.1965487051465,16.802192503537,85.9864907645
219,5.9637521006,65.3530999157361,24.554179505299,85.9864913001
