"Analysis","N","s","Species_Index","Dispersed","Clustered"
"Cricetidae_C128",128,64,14,"Rhipidomys_itoan_CRICETIDAE_RODENTIA","Oxymycterus_dasytrichus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,15,"Euneomys_chinchilloides_CRICETIDAE_RODENTIA","Juscelinomys_huanchacae_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,16,"Nephelomys_levipes_CRICETIDAE_RODENTIA","Akodon_torques_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,17,"Calomys_expulsus_CRICETIDAE_RODENTIA","Akodon_lutescens_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,18,"Juliomys_rimofrons_CRICETIDAE_RODENTIA","Akodon_subfuscus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,19,"Neofiber_alleni_CRICETIDAE_RODENTIA","Akodon_sylvanus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,20,"Lemmus_sibiricus_CRICETIDAE_RODENTIA","Akodon_azarae_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,21,"Amphinectomys_savamis_CRICETIDAE_RODENTIA","Akodon_juninensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,22,"Thomasomys_gracilis_CRICETIDAE_RODENTIA","Akodon_montensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,23,"Wiedomys_pyrrhorhinos_CRICETIDAE_RODENTIA","Akodon_cursor_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,24,"Arborimus_albipes_CRICETIDAE_RODENTIA","Akodon_iniscatus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,25,"Oligoryzomys_destructor_CRICETIDAE_RODENTIA","Akodon_dayi_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,26,"Aepeomys_lugens_CRICETIDAE_RODENTIA","Necromys_lactens_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,27,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Necromys_lenguarum_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,28,"Paralomys_gerbillus_CRICETIDAE_RODENTIA","Euneomys_chinchilloides_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,29,"Drymoreomys_albimaculatus_CRICETIDAE_RODENTIA","Juliomys_rimofrons_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,30,"Necromys_lactens_CRICETIDAE_RODENTIA","Juliomys_pictipes_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,31,"Oxymycterus_quaestor_CRICETIDAE_RODENTIA","Calomys_expulsus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,32,"Eothenomys_miletus_CRICETIDAE_RODENTIA","Calomys_laucha_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,33,"Eligmodontia_bolsonensis_CRICETIDAE_RODENTIA","Eligmodontia_bolsonensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,34,"Handleyomys_saturatior_CRICETIDAE_RODENTIA","Auliscomys_sublimis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,35,"Peromyscus_californicus_CRICETIDAE_RODENTIA","Paralomys_gerbillus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,36,"Lagurus_lagurus_CRICETIDAE_RODENTIA","Wiedomys_pyrrhorhinos_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,37,"Ellobius_talpinus_CRICETIDAE_RODENTIA","Wiedomys_cerradensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,38,"Neacomys_spinosus_CRICETIDAE_RODENTIA","Notiomys_edwardsii_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,39,"Transandinomys_talamancae_CRICETIDAE_RODENTIA","Abrothrix_olivaceus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,40,"Bibimys_labiosus_CRICETIDAE_RODENTIA","Abrothrix_sanborni_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,41,"Cerradomys_maracajuensis_CRICETIDAE_RODENTIA","Abrothrix_longipilis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,42,"Megadontomys_nelsoni_CRICETIDAE_RODENTIA","Transandinomys_talamancae_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,43,"Reithrodontomys_gracilis_CRICETIDAE_RODENTIA","Hylaeamys_yunganus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,44,"Hylaeamys_yunganus_CRICETIDAE_RODENTIA","Hylaeamys_megacephalus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,45,"Pseudoryzomys_simplex_CRICETIDAE_RODENTIA","Nephelomys_levipes_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,64,46,"Brucepattersonius_iheringi_CRICETIDAE_RODENTIA","Nephelomys_albigularis_CRICETIDAE_RODENTIA"
